Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000,4/22/2016,car,,-1%,112xx,NY,,0
18000,4/22/2016,major_purchase,,1.38%,373xx,TN,< 1 year,0
10000,4/22/2016,debt_consolidation,,44.17%,532xx,WI,< 1 year,0
5000,4/22/2016,debt_consolidation,667,50.64%,350xx,AL,< 1 year,0
10000,4/22/2016,debt_consolidation,,34.46%,891xx,NV,< 1 year,0
8000,4/22/2016,debt_consolidation,,31.60%,320xx,FL,< 1 year,0
4000,4/22/2016,credit_card,,37.36%,787xx,TX,5 years,0
7000,4/22/2016,other,,12.38%,432xx,OH,< 1 year,0
25000,4/22/2016,house,,0%,321xx,FL,< 1 year,0
35000,4/22/2016,home_improvement,658,7.09%,190xx,PA,1 year,0
20000,4/22/2016,debt_consolidation,600,19.96%,030xx,NH,< 1 year,0
5000,4/22/2016,other,,3.89%,235xx,VA,< 1 year,0
10000,4/22/2016,other,,32.13%,425xx,KY,< 1 year,0
15000,4/22/2016,home_improvement,683,13.05%,110xx,NY,< 1 year,0
20000,4/22/2016,Debt consolidation,623,20.57%,111xx,NY,7 years,0
20000,4/22/2016,other,,19.78%,397xx,MS,< 1 year,0
6000,4/22/2016,major_purchase,,18.64%,060xx,CT,< 1 year,0
4500,4/22/2016,debt_consolidation,,33.40%,457xx,OH,< 1 year,0
30000,4/22/2016,debt_consolidation,,17.89%,212xx,MD,< 1 year,0
3000,4/22/2016,other,,8.30%,211xx,MD,5 years,0
15000,4/22/2016,debt_consolidation,,26.28%,322xx,FL,< 1 year,0
15000,4/22/2016,debt_consolidation,630,47.10%,452xx,OH,< 1 year,0
15000,4/22/2016,credit_card,,27.95%,040xx,ME,5 years,0
16000,4/22/2016,debt_consolidation,,20.64%,605xx,IL,< 1 year,0
12000,4/22/2016,Credit card refinancing,,9.80%,112xx,NY,9 years,0
9000,4/22/2016,debt_consolidation,,84.65%,840xx,UT,< 1 year,0
10000,4/22/2016,Debt consolidation,649,10.30%,210xx,MD,7 years,0
20000,4/22/2016,debt_consolidation,633,37.12%,356xx,AL,< 1 year,0
2000,4/22/2016,other,,1.20%,871xx,NM,5 years,0
40000,4/22/2016,credit_card,,11.11%,100xx,NY,< 1 year,0
1000,4/22/2016,Other,,3.43%,982xx,WA,2 years,0
7500,4/22/2016,debt_consolidation,,22.89%,773xx,TX,5 years,0
25000,4/22/2016,debt_consolidation,,24.60%,329xx,FL,< 1 year,0
15000,4/22/2016,medical,563,30.17%,688xx,NE,< 1 year,0
6000,4/22/2016,Credit card refinancing,,16.58%,122xx,NY,6 years,2
13000,4/22/2016,debt_consolidation,,11%,482xx,MI,< 1 year,0
8000,4/22/2016,debt_consolidation,,20.41%,180xx,PA,< 1 year,0
1200,4/22/2016,debt_consolidation,,-1%,782xx,TX,< 1 year,0
15000,4/22/2016,credit_card,,25.49%,115xx,NY,< 1 year,0
30000,4/22/2016,debt_consolidation,,49.96%,294xx,SC,< 1 year,0
7000,4/22/2016,debt_consolidation,720,59.68%,745xx,OK,< 1 year,0
8000,4/22/2016,car,,-1%,450xx,OH,5 years,0
1000,4/22/2016,other,,2.88%,275xx,NC,< 1 year,0
10000,4/22/2016,debt_consolidation,,13.96%,606xx,IL,5 years,0
33000,4/22/2016,Credit card refinancing,665,12.87%,604xx,IL,7 years,0
15000,4/22/2016,debt_consolidation,,2.46%,915xx,CA,< 1 year,0
11000,4/22/2016,Debt consolidation,647,21.39%,301xx,GA,4 years,0
30000,4/22/2016,home_improvement,748,6.09%,198xx,DE,< 1 year,0
20000,4/22/2016,debt_consolidation,637,29.63%,782xx,TX,< 1 year,0
3500,4/22/2016,other,,-1%,373xx,TN,,0
2200,4/22/2016,other,,15.12%,344xx,FL,< 1 year,0
1000,4/22/2016,moving,,2.23%,734xx,OK,< 1 year,0
5000,4/22/2016,credit_card,676,90.64%,297xx,SC,< 1 year,0
3000,4/22/2016,debt_consolidation,,46.98%,112xx,NY,< 1 year,0
20000,4/22/2016,credit_card,,-1%,273xx,NC,< 1 year,0
20000,4/22/2016,credit_card,616,25.12%,370xx,TN,< 1 year,0
10000,4/22/2016,debt_consolidation,,36.96%,530xx,WI,5 years,0
9000,4/22/2016,Major purchase,,23.48%,705xx,LA,10+ years,0
5000,4/22/2016,home_improvement,,31.72%,919xx,CA,< 1 year,0
9500,4/22/2016,home_improvement,,3.20%,284xx,NC,,0
10000,4/22/2016,other,,36.14%,114xx,NY,< 1 year,0
5000,4/22/2016,other,,33.09%,427xx,KY,< 1 year,0
5000,4/22/2016,debt_consolidation,,42.78%,880xx,NM,< 1 year,0
8000,4/22/2016,credit_card,,0%,919xx,CA,5 years,0
35000,4/22/2016,debt_consolidation,644,31.05%,377xx,TN,< 1 year,0
1000,4/22/2016,debt_consolidation,,25.17%,287xx,NC,< 1 year,0
7000,4/22/2016,home_improvement,,116.31%,873xx,NM,< 1 year,0
24000,4/22/2016,credit_card,758,16.68%,800xx,CO,,0
15000,4/22/2016,small_business,,19.27%,853xx,AZ,< 1 year,0
3000,4/22/2016,home_improvement,,20.35%,462xx,IN,5 years,0
25000,4/22/2016,debt_consolidation,,49.42%,107xx,NY,< 1 year,0
7000,4/22/2016,debt_consolidation,630,21.17%,207xx,MD,< 1 year,0
20000,4/22/2016,debt_consolidation,666,26.02%,275xx,NC,< 1 year,0
5000,4/22/2016,home_improvement,,130.14%,622xx,IL,< 1 year,0
10000,4/22/2016,major_purchase,,4.29%,078xx,NJ,< 1 year,0
5000,4/22/2016,debt_consolidation,,3.32%,633xx,MO,< 1 year,0
40000,4/22/2016,major_purchase,,31.67%,313xx,GA,< 1 year,0
3000,4/22/2016,debt_consolidation,,15.60%,482xx,MI,< 1 year,0
10000,4/22/2016,major_purchase,,20.78%,349xx,FL,< 1 year,0
5000,4/22/2016,debt_consolidation,,12.54%,925xx,CA,< 1 year,0
5000,4/22/2016,debt_consolidation,,15.61%,104xx,NY,< 1 year,0
35000,4/22/2016,home_improvement,,43.89%,334xx,FL,< 1 year,0
5000,4/22/2016,other,,31.82%,118xx,NY,< 1 year,0
35000,4/22/2016,home_improvement,,3.23%,770xx,TX,< 1 year,0
5000,4/22/2016,moving,,46.49%,900xx,CA,< 1 year,0
16000,4/22/2016,credit_card,,9.81%,310xx,GA,< 1 year,0
4000,4/22/2016,other,,19.55%,300xx,GA,5 years,0
1000,4/22/2016,other,,0%,376xx,TN,< 1 year,0
25000,4/22/2016,Business Loan,,-1%,853xx,AZ,< 1 year,2
25000,4/22/2016,debt_consolidation,,50.99%,856xx,AZ,5 years,0
5000,4/22/2016,other,,24.55%,395xx,MS,< 1 year,0
25000,4/22/2016,debt_consolidation,661,51.51%,152xx,PA,< 1 year,0
23000,4/22/2016,debt_consolidation,,312.47%,997xx,AK,< 1 year,0
7500,4/22/2016,debt_consolidation,,116.67%,280xx,NC,< 1 year,0
5000,4/22/2016,debt_consolidation,,-1%,275xx,NC,5 years,0
100000,4/22/2016,Business Loan,,-1%,945xx,CA,< 1 year,0
10000,4/22/2016,home_improvement,,10.16%,281xx,NC,< 1 year,0
1500,4/22/2016,other,,2.09%,274xx,NC,< 1 year,0
7000,4/22/2016,debt_consolidation,,45.24%,993xx,WA,< 1 year,0
1000,4/22/2016,other,,90.46%,770xx,TX,< 1 year,0
3000,4/22/2016,debt_consolidation,,9.73%,104xx,NY,< 1 year,0
5000,4/22/2016,credit_card,,-1%,316xx,GA,< 1 year,0
7300,4/22/2016,debt_consolidation,,18.41%,010xx,MA,< 1 year,0
100000,4/22/2016,Business Loan,,-1%,300xx,GA,< 1 year,0
24000,4/22/2016,car,,0%,606xx,IL,< 1 year,0
3000,4/22/2016,other,,77.35%,705xx,LA,,0
1000,4/22/2016,car,,25.75%,482xx,MI,5 years,0
30000,4/22/2016,debt_consolidation,,13.73%,052xx,VT,< 1 year,0
12000,4/22/2016,debt_consolidation,,98.35%,446xx,OH,< 1 year,0
40000,4/22/2016,other,,48.40%,214xx,MD,< 1 year,0
35000,4/22/2016,home_improvement,,40.14%,245xx,VA,< 1 year,0
20000,4/22/2016,debt_consolidation,,70.58%,487xx,MI,< 1 year,0
10000,4/22/2016,major_purchase,,-1%,564xx,MN,< 1 year,0
1000,4/22/2016,medical,,-1%,894xx,NV,< 1 year,0
3000,4/22/2016,vacation,,19.88%,983xx,WA,< 1 year,0
12000,4/22/2016,house,,12.62%,113xx,NY,< 1 year,0
30000,4/22/2016,debt_consolidation,,180%,967xx,HI,< 1 year,0
10000,4/22/2016,home_improvement,,42.42%,199xx,DE,< 1 year,0
10000,4/22/2016,debt_consolidation,,17.91%,324xx,FL,< 1 year,0
10000,4/22/2016,debt_consolidation,,32.08%,104xx,NY,< 1 year,0
1000,4/22/2016,other,,68.02%,234xx,VA,< 1 year,0
5000,4/22/2016,Debt consolidation,635,13.73%,432xx,OH,,0
1000,4/22/2016,major_purchase,,43.44%,288xx,NC,< 1 year,0
4000,4/22/2016,debt_consolidation,,47.75%,882xx,NM,< 1 year,0
35000,4/22/2016,house,,0%,331xx,FL,< 1 year,0
20000,4/22/2016,car,,12.63%,322xx,FL,5 years,0
5000,4/22/2016,other,,23.57%,622xx,IL,< 1 year,0
10000,4/22/2016,debt_consolidation,,33.51%,232xx,VA,< 1 year,0
20000,4/22/2016,debt_consolidation,679,22.81%,285xx,NC,< 1 year,0
12000,4/22/2016,debt_consolidation,,35.90%,706xx,AR,< 1 year,0
20000,4/22/2016,credit_card,706,38.70%,951xx,CA,10+ years,0
19400,4/22/2016,car,,36.93%,215xx,MD,5 years,0
35000,4/22/2016,home_improvement,,24.66%,681xx,NE,< 1 year,0
20000,4/22/2016,debt_consolidation,,25.81%,983xx,WA,5 years,0
4000,4/22/2016,debt_consolidation,,25.98%,591xx,MT,< 1 year,0
4000,4/22/2016,debt_consolidation,,16.26%,170xx,PA,< 1 year,0
15000,4/22/2016,debt_consolidation,668,230.17%,725xx,AR,< 1 year,0
35000,4/22/2016,debt_consolidation,,18.72%,700xx,LA,< 1 year,0
2500,4/22/2016,debt_consolidation,,12.80%,850xx,AZ,< 1 year,0
10000,4/22/2016,home_improvement,,36.92%,150xx,PA,< 1 year,0
13000,4/22/2016,other,,82.45%,381xx,TN,,0
10000,4/22/2016,debt_consolidation,626,74.41%,871xx,NM,< 1 year,0
10000,4/22/2016,major_purchase,,-1%,379xx,TN,< 1 year,0
8500,4/22/2016,credit_card,,38.56%,891xx,NV,5 years,0
30000,4/22/2016,Debt consolidation,,22.14%,125xx,NY,,0
16000,4/22/2016,debt_consolidation,,4.72%,104xx,NY,< 1 year,0
18000,4/22/2016,other,,3.38%,063xx,CT,< 1 year,0
8000,4/22/2016,debt_consolidation,,9999%,799xx,TX,< 1 year,0
22000,4/22/2016,debt_consolidation,,12.95%,490xx,MI,< 1 year,0
25000,4/22/2016,debt_consolidation,,6.64%,605xx,IL,< 1 year,0
2000,4/22/2016,other,,-1%,922xx,CA,,0
10000,4/22/2016,debt_consolidation,,954.64%,622xx,IL,5 years,0
4000,4/22/2016,debt_consolidation,,12.97%,300xx,GA,< 1 year,0
15000,4/22/2016,debt_consolidation,,57.49%,407xx,KY,5 years,0
1000,4/22/2016,other,,0.05%,704xx,LA,< 1 year,0
3000,4/22/2016,debt_consolidation,,30.81%,776xx,TX,< 1 year,0
40000,4/22/2016,house,,16.14%,606xx,IL,< 1 year,0
3000,4/22/2016,debt_consolidation,,219.73%,851xx,AZ,< 1 year,0
6000,4/22/2016,debt_consolidation,,64.18%,342xx,FL,< 1 year,0
35000,4/22/2016,debt_consolidation,,11.50%,019xx,MA,< 1 year,0
4000,4/22/2016,debt_consolidation,,27.74%,482xx,MI,< 1 year,0
2000,4/22/2016,Medical expenses,,5.16%,323xx,FL,10+ years,0
20000,4/22/2016,debt_consolidation,,0%,282xx,NC,< 1 year,0
6000,4/22/2016,debt_consolidation,,16.03%,370xx,TN,< 1 year,0
25000,4/22/2016,car,,1.70%,900xx,CA,< 1 year,0
1000,4/22/2016,other,,38200%,917xx,CA,< 1 year,0
5000,4/22/2016,small_business,,5.13%,070xx,NJ,< 1 year,0
7000,4/22/2016,car,,15.68%,802xx,CO,5 years,0
1000,4/22/2016,home_improvement,,0.47%,070xx,NJ,< 1 year,0
13000,4/22/2016,home_improvement,,-1%,448xx,OH,< 1 year,0
2500,4/22/2016,debt_consolidation,,11.45%,112xx,NY,< 1 year,0
7500,4/22/2016,house,,32.53%,280xx,NC,5 years,0
4000,4/22/2016,Credit card refinancing,,15.51%,276xx,NC,9 years,2
30000,4/22/2016,debt_consolidation,,59.89%,329xx,FL,< 1 year,0
12000,4/22/2016,home_improvement,,11.28%,141xx,NY,< 1 year,0
40000,4/22/2016,house,,230.20%,910xx,CA,< 1 year,0
20000,4/22/2016,credit_card,633,40.25%,480xx,MI,< 1 year,0
5000,4/22/2016,debt_consolidation,,33.28%,622xx,IL,< 1 year,0
28000,4/22/2016,debt_consolidation,698,11.77%,212xx,MD,10+ years,0
5000,4/22/2016,other,,17.08%,209xx,MD,< 1 year,0
5000,4/22/2016,Other,,38.25%,967xx,HI,< 1 year,0
25000,4/22/2016,major_purchase,,3.67%,530xx,WI,< 1 year,0
4000,4/22/2016,car,,7.83%,945xx,CA,5 years,0
2500,4/22/2016,debt_consolidation,,17.77%,936xx,CA,< 1 year,0
5000,4/22/2016,debt_consolidation,,121.37%,622xx,IL,< 1 year,0
2000,4/22/2016,other,,10.09%,775xx,TX,< 1 year,0
40000,4/22/2016,debt_consolidation,,40.72%,113xx,NY,< 1 year,0
10000,4/22/2016,credit_card,,34.57%,708xx,LA,< 1 year,0
3000,4/22/2016,moving,,65.22%,553xx,MO,< 1 year,0
4500,4/22/2016,debt_consolidation,662,70.17%,105xx,NY,< 1 year,0
35000,4/22/2016,other,,15.63%,105xx,NY,< 1 year,0
20000,4/22/2016,debt_consolidation,605,28.55%,238xx,VA,< 1 year,0
30000,4/22/2016,debt_consolidation,748,51.66%,781xx,TX,< 1 year,0
1950,4/22/2016,credit_card,,42.79%,341xx,FL,,0
2000,4/22/2016,car,,33.01%,783xx,TX,< 1 year,0
5000,4/22/2016,debt_consolidation,,26.05%,064xx,CT,< 1 year,0
1000,4/22/2016,debt_consolidation,,41.53%,302xx,GA,5 years,0
10000,4/22/2016,home_improvement,,69.92%,461xx,IN,< 1 year,0
4000,4/22/2016,home_improvement,,0.86%,285xx,NC,5 years,0
15000,4/22/2016,other,,12.88%,294xx,SC,< 1 year,0
15000,4/22/2016,debt_consolidation,,53.57%,986xx,WA,< 1 year,0
4000,4/22/2016,major_purchase,,4.31%,462xx,IN,< 1 year,0
25000,4/22/2016,debt_consolidation,690,71.96%,932xx,CA,< 1 year,0
10000,4/22/2016,credit_card,,7.37%,941xx,CA,< 1 year,0
9000,4/22/2016,debt_consolidation,,5.79%,191xx,PA,< 1 year,0
15000,4/22/2016,credit_card,,21.12%,917xx,CA,< 1 year,0
12000,4/22/2016,debt_consolidation,,20.79%,350xx,AL,< 1 year,0
15000,4/22/2016,home_improvement,,27.48%,467xx,IN,< 1 year,0
10000,4/22/2016,debt_consolidation,,48.23%,500xx,MN,< 1 year,0
8500,4/22/2016,debt_consolidation,,41.81%,673xx,KS,< 1 year,0
1000,4/22/2016,car,,34.19%,142xx,NY,< 1 year,0
4000,4/22/2016,vacation,,0.60%,301xx,GA,5 years,0
5000,4/22/2016,debt_consolidation,,8.31%,481xx,MI,< 1 year,0
5000,4/22/2016,debt_consolidation,568,20.36%,339xx,FL,< 1 year,0
8000,4/22/2016,debt_consolidation,,-1%,297xx,SC,< 1 year,0
35000,4/22/2016,debt_consolidation,,8.13%,342xx,FL,< 1 year,0
10000,4/22/2016,credit_card,,8.53%,319xx,GA,< 1 year,0
5000,4/22/2016,credit_card,,41.70%,912xx,CA,5 years,0
16000,4/22/2016,Debt consolidation,,1.50%,799xx,TX,10+ years,0
3000,4/22/2016,Business,,10.87%,190xx,PA,4 years,0
14500,4/22/2016,credit_card,,31.17%,452xx,OH,< 1 year,0
13000,4/22/2016,other,,42.67%,974xx,OR,< 1 year,0
8000,4/22/2016,major_purchase,,4.38%,951xx,CA,< 1 year,0
35000,4/22/2016,other,,17.03%,321xx,FL,5 years,0
1000,4/22/2016,other,,1.93%,018xx,MA,5 years,0
1000,4/22/2016,vacation,,40.57%,228xx,VA,< 1 year,0
40000,4/22/2016,debt_consolidation,750,34.09%,114xx,NY,< 1 year,0
5000,4/22/2016,debt_consolidation,,19.37%,851xx,AZ,5 years,0
30000,4/22/2016,debt_consolidation,,16.90%,223xx,VA,< 1 year,0
5000,4/22/2016,credit_card,,17.90%,606xx,IL,< 1 year,0
12000,4/22/2016,debt_consolidation,661,63.39%,280xx,NC,< 1 year,0
8000,4/22/2016,other,,23.88%,394xx,MS,< 1 year,0
1000,4/22/2016,medical,,38.68%,100xx,NY,< 1 year,0
4000,4/22/2016,credit_card,,45.20%,906xx,CA,< 1 year,0
2000,4/22/2016,credit_card,,0.32%,114xx,NY,5 years,0
40000,4/22/2016,debt_consolidation,,23.91%,946xx,CA,< 1 year,0
1000,4/22/2016,vacation,,45.95%,710xx,LA,< 1 year,0
3000,4/22/2016,medical,,24.37%,946xx,CA,< 1 year,0
6000,4/22/2016,other,,41.86%,493xx,MI,5 years,0
1000,4/22/2016,other,,21.57%,788xx,TX,< 1 year,0
30000,4/22/2016,home_improvement,,30.52%,319xx,GA,< 1 year,0
15000,4/22/2016,debt_consolidation,,18.22%,211xx,MD,< 1 year,0
3000,4/22/2016,debt_consolidation,,16.10%,065xx,CT,< 1 year,0
20000,4/22/2016,credit_card,,28.40%,760xx,TX,5 years,0
25000,4/22/2016,debt_consolidation,,31.57%,141xx,NY,< 1 year,0
20000,4/22/2016,debt_consolidation,,34.41%,112xx,NY,,0
25000,4/22/2016,debt_consolidation,,55.40%,726xx,AR,< 1 year,0
3000,4/22/2016,credit_card,621,18.77%,981xx,WA,< 1 year,0
2000,4/22/2016,debt_consolidation,,21.80%,111xx,NY,5 years,0
8500,4/22/2016,other,,45.20%,983xx,WA,5 years,0
20000,4/22/2016,debt_consolidation,,30.81%,925xx,CA,< 1 year,0
35000,4/22/2016,debt_consolidation,,344.53%,617xx,IL,< 1 year,0
6000,4/22/2016,other,,15.75%,142xx,NY,< 1 year,0
1000,4/22/2016,debt_consolidation,,11.55%,787xx,TX,< 1 year,0
7000,4/22/2016,debt_consolidation,,17.30%,606xx,IL,< 1 year,0
30000,4/22/2016,credit_card,,25.44%,794xx,TX,5 years,0
20000,4/22/2016,debt_consolidation,,40.59%,148xx,NY,< 1 year,0
10000,4/22/2016,debt_consolidation,,-1%,700xx,LA,< 1 year,0
3000,4/22/2016,car,,3%,891xx,NV,< 1 year,0
8000,4/22/2016,Debt consolidation,,13.76%,530xx,WI,10+ years,0
30000,4/22/2016,debt_consolidation,672,28.33%,112xx,NY,< 1 year,0
8000,4/22/2016,home_improvement,645,0%,430xx,OH,< 1 year,0
1000,4/22/2016,other,,19.16%,809xx,CO,5 years,0
20000,4/22/2016,debt_consolidation,,-1%,119xx,NY,< 1 year,0
40000,4/22/2016,debt_consolidation,,73.71%,125xx,NY,,0
10000,4/22/2016,debt_consolidation,,57.12%,310xx,GA,< 1 year,0
10000,4/22/2016,home_improvement,,4.28%,985xx,WA,< 1 year,0
5000,4/22/2016,debt_consolidation,,13.32%,484xx,MI,< 1 year,0
40000,4/22/2016,house,,0.56%,324xx,FL,< 1 year,0
3500,4/22/2016,home_improvement,,13.02%,913xx,CA,< 1 year,0
25000,4/22/2016,debt_consolidation,660,35.32%,980xx,WA,< 1 year,0
4000,4/22/2016,credit_card,,54.36%,022xx,MA,< 1 year,0
3200,4/22/2016,Major purchase,,1.02%,787xx,TX,6 years,0
25000,4/22/2016,debt_consolidation,,24.89%,440xx,OH,< 1 year,0
2000,4/22/2016,debt_consolidation,,7.06%,461xx,IN,5 years,0
8000,4/22/2016,major_purchase,,1.97%,193xx,PA,< 1 year,0
28000,4/22/2016,Business Loan,,-1%,752xx,TX,< 1 year,0
35000,4/22/2016,other,644,26.82%,373xx,TN,< 1 year,0
5000,4/22/2016,medical,,0%,923xx,CA,< 1 year,0
34000,4/22/2016,house,,9.91%,317xx,GA,,0
5000,4/22/2016,credit_card,,35.33%,551xx,MN,< 1 year,0
12000,4/22/2016,credit_card,,10.89%,856xx,AZ,< 1 year,0
25000,4/22/2016,major_purchase,653,38.16%,208xx,MD,< 1 year,0
15000,4/22/2016,debt_consolidation,,47.60%,844xx,UT,< 1 year,0
10000,4/22/2016,other,,1.68%,028xx,RI,< 1 year,0
40000,4/22/2016,credit_card,592,40.12%,377xx,TN,< 1 year,0
5000,4/22/2016,debt_consolidation,,11.04%,775xx,TX,< 1 year,0
15000,4/22/2016,car,,45.56%,985xx,WA,< 1 year,0
9000,4/22/2016,other,,15.69%,334xx,FL,< 1 year,0
4425,4/22/2016,credit_card,,-1%,071xx,NJ,< 1 year,0
35000,4/22/2016,debt_consolidation,,107.24%,393xx,MS,< 1 year,0
5000,4/22/2016,debt_consolidation,,15.30%,066xx,CT,< 1 year,0
10000,4/22/2016,major_purchase,,10.79%,134xx,NY,< 1 year,0
4000,4/22/2016,debt_consolidation,,39.33%,945xx,CA,5 years,0
10000,4/22/2016,moving,,2%,200xx,DC,< 1 year,0
1000,4/22/2016,other,,0%,016xx,MA,,0
12000,4/22/2016,debt_consolidation,,4.49%,794xx,TX,5 years,0
10000,4/22/2016,debt_consolidation,,24.69%,331xx,FL,< 1 year,0
2500,4/22/2016,car,,27.87%,028xx,RI,< 1 year,0
1400,4/22/2016,moving,,3.79%,334xx,FL,,0
40000,4/22/2016,debt_consolidation,715,12.42%,206xx,MD,< 1 year,0
20000,4/22/2016,debt_consolidation,618,19.88%,240xx,VA,< 1 year,0
5000,4/22/2016,home_improvement,697,25.30%,468xx,IN,< 1 year,0
2000,4/22/2016,debt_consolidation,,7.20%,271xx,NC,< 1 year,0
4000,4/22/2016,debt_consolidation,,23.60%,921xx,CA,< 1 year,0
15000,4/22/2016,debt_consolidation,,26.90%,322xx,FL,< 1 year,0
25000,4/22/2016,Business Loan,,-1%,176xx,PA,< 1 year,0
20000,4/22/2016,debt_consolidation,670,182%,441xx,OH,< 1 year,0
15000,4/22/2016,credit_card,,22.82%,074xx,NJ,< 1 year,0
5000,4/22/2016,debt_consolidation,,2.88%,631xx,MO,< 1 year,0
15000,4/22/2016,debt_consolidation,,88.48%,441xx,OH,< 1 year,0
3500,4/22/2016,debt_consolidation,,34.80%,761xx,TX,< 1 year,0
7000,4/22/2016,Debt consolidation,,29.74%,219xx,MD,3 years,0
10000,4/22/2016,credit_card,,58.80%,622xx,IL,< 1 year,0
10000,4/22/2016,Debt consolidation,671,24.81%,554xx,MN,10+ years,0
5000,4/22/2016,other,,0%,487xx,MI,5 years,0
5000,4/22/2016,credit_card,,17.51%,913xx,CA,5 years,0
6000,4/22/2016,medical,,16.12%,278xx,NC,5 years,0
5000,4/22/2016,home_improvement,,7.67%,060xx,CT,< 1 year,0
2000,4/22/2016,moving,,23.63%,784xx,TX,,0
9000,4/22/2016,debt_consolidation,,5.96%,342xx,FL,5 years,0
2500,4/22/2016,medical,,8.78%,945xx,CA,< 1 year,0
1000,4/22/2016,other,,9.67%,018xx,MA,5 years,0
13000,4/22/2016,debt_consolidation,,31.68%,067xx,CT,5 years,0
10000,4/22/2016,credit_card,,7.71%,458xx,OH,5 years,0
10000,4/22/2016,credit_card,,34%,104xx,NY,,0
20000,4/22/2016,car,658,7.03%,463xx,IN,< 1 year,0
6000,4/22/2016,house,,28.69%,891xx,NV,< 1 year,0
10000,4/22/2016,house,,29.14%,756xx,TX,< 1 year,0
10000,4/22/2016,house,,19.07%,379xx,TN,5 years,0
1500,4/22/2016,other,,18.67%,170xx,PA,5 years,0
45000,4/22/2016,home_improvement,,16.47%,342xx,FL,< 1 year,0
20000,4/22/2016,debt_consolidation,,36%,154xx,PA,< 1 year,0
10000,4/22/2016,debt_consolidation,,12.92%,325xx,FL,< 1 year,0
20000,4/22/2016,debt_consolidation,,18.73%,593xx,MT,< 1 year,0
10000,4/22/2016,debt_consolidation,,10.20%,115xx,NY,< 1 year,0
8000,4/22/2016,home_improvement,,-1%,321xx,FL,5 years,0
30000,4/22/2016,debt_consolidation,,27.27%,065xx,CT,5 years,0
5000,4/22/2016,Business,,31.13%,547xx,WI,4 years,0
1000,4/22/2016,debt_consolidation,,14.10%,293xx,SC,< 1 year,0
3300,4/22/2016,debt_consolidation,653,54.48%,921xx,CA,< 1 year,0
22000,4/22/2016,Debt consolidation,,23.24%,722xx,AR,9 years,0
35000,4/22/2016,other,,15.06%,065xx,CT,< 1 year,0
5000,4/22/2016,other,,15.06%,787xx,TX,< 1 year,0
1000,4/22/2016,other,,0%,531xx,WI,5 years,0
10000,4/22/2016,credit_card,,13.26%,600xx,IL,< 1 year,0
2500,4/22/2016,other,,26.38%,588xx,ND,5 years,0
21000,4/22/2016,major_purchase,,25.33%,367xx,AL,,0
33000,4/22/2016,credit_card,,46.16%,636xx,MO,< 1 year,0
30000,4/22/2016,home_improvement,,7.33%,354xx,AL,< 1 year,0
12000,4/22/2016,debt_consolidation,,56.12%,307xx,GA,< 1 year,0
7000,4/22/2016,debt_consolidation,,10.03%,770xx,TX,5 years,0
13000,4/22/2016,debt_consolidation,,50.18%,350xx,AL,5 years,0
2500,4/22/2016,medical,,12.38%,402xx,KY,5 years,0
7000,4/22/2016,house,571,0.04%,535xx,WI,< 1 year,0
10000,4/22/2016,other,,53.22%,779xx,TX,< 1 year,0
10000,4/22/2016,home_improvement,741,11.68%,497xx,MI,< 1 year,0
3000,4/22/2016,credit_card,,39.56%,490xx,MI,5 years,0
5000,4/22/2016,moving,,15.22%,760xx,TX,5 years,0
1000,4/22/2016,credit_card,,2.88%,689xx,NE,< 1 year,0
3500,4/22/2016,other,,23.11%,330xx,FL,5 years,0
13000,4/22/2016,debt_consolidation,712,28.95%,085xx,NJ,< 1 year,0
6000,4/22/2016,home_improvement,,48.26%,330xx,FL,,0
1000,4/22/2016,other,,29.53%,860xx,AZ,< 1 year,0
5000,4/22/2016,other,,17.67%,782xx,TX,< 1 year,0
13000,4/22/2016,debt_consolidation,,50.02%,984xx,WA,< 1 year,0
12000,4/22/2016,debt_consolidation,,34.16%,349xx,FL,< 1 year,0
10000,4/22/2016,debt_consolidation,,46.16%,448xx,OH,< 1 year,0
1200,4/22/2016,major_purchase,,-1%,197xx,DE,5 years,0
2000,4/22/2016,debt_consolidation,,8.22%,974xx,OR,5 years,0
10000,4/22/2016,credit_card,649,52.91%,559xx,MN,< 1 year,0
35000,4/22/2016,home_improvement,562,0.27%,302xx,GA,< 1 year,0
25000,4/22/2016,Medical expenses,,12.24%,927xx,CA,3 years,0
2500,4/22/2016,debt_consolidation,,25.20%,320xx,FL,< 1 year,0
17000,4/22/2016,debt_consolidation,,39.80%,452xx,OH,< 1 year,0
1000,4/22/2016,car,,60.98%,330xx,FL,,0
3000,4/22/2016,debt_consolidation,667,32.96%,810xx,CO,< 1 year,0
12000,4/22/2016,Debt consolidation,687,13.20%,142xx,NY,10+ years,0
3000,4/22/2016,debt_consolidation,543,47.84%,941xx,CA,< 1 year,0
10000,4/22/2016,Debt consolidation,,16.44%,339xx,FL,4 years,0
5000,4/22/2016,debt_consolidation,719,72.58%,613xx,IL,< 1 year,0
20000,4/22/2016,Debt consolidation,,26.55%,333xx,FL,6 years,0
25000,4/22/2016,debt_consolidation,,23.94%,750xx,TX,< 1 year,0
3000,4/22/2016,debt_consolidation,,22.15%,373xx,TN,5 years,0
4300,4/22/2016,debt_consolidation,,16.44%,074xx,NJ,< 1 year,0
